"","date","Avg.baby3"
"1055",1971-11-23,12
"1056",1971-11-24,3
"1057",1971-11-25,3
"1058",1971-11-26,7
"1059",1971-11-27,6
"1060",1971-11-28,4
"1061",1971-11-29,4
"1062",1971-11-30,11
"1063",1971-12-01,7
"1064",1971-12-02,13
"1065",1971-12-03,6
"1066",1971-12-04,6
"1067",1971-12-05,NA
"1068",1971-12-06,6
"1069",1971-12-07,5
"1070",1971-12-08,13
"1071",1971-12-09,10
"1072",1971-12-10,NA
"1073",1971-12-11,5
"1074",1971-12-12,4
"1075",1971-12-13,4
"1076",1971-12-14,10
"1077",1971-12-15,17
"1078",1971-12-16,14
"1079",1971-12-17,3
"1080",1971-12-18,NA
"1081",1971-12-19,5
"1082",1971-12-20,6
"1083",1971-12-21,8
"1084",1971-12-22,15
"1085",1971-12-23,7
"1086",1971-12-24,6
"1087",1971-12-25,NA
"1088",1971-12-26,7
"1089",1971-12-27,10
"1090",1971-12-28,9
"1091",1971-12-29,NA
"1092",1971-12-30,13
"1093",1971-12-31,3
"1094",1972-01-01,11
"1095",1972-01-02,15
"1096",1972-01-03,7
"1097",1972-01-04,29
"1098",1972-01-05,7
"1099",1972-01-06,7
"1100",1972-01-07,5
"1101",1972-01-08,6
"1102",1972-01-09,2
"1103",1972-01-10,6
"1104",1972-01-11,4
"1105",1972-01-12,30
"1106",1972-01-13,3
"1107",1972-01-14,NA
"1108",1972-01-15,16
"1109",1972-01-16,21
"1110",1972-01-17,7
"1111",1972-01-18,4
"1112",1972-01-19,12
"1113",1972-01-20,14
"1114",1972-01-21,10
"1115",1972-01-22,4
"1116",1972-01-23,7
"1117",1972-01-24,11
"1118",1972-01-25,NA
"1119",1972-01-26,NA
"1120",1972-01-27,8
"1121",1972-01-28,NA
"1122",1972-01-29,7
"1123",1972-01-30,5
"1124",1972-01-31,12
"1125",1972-02-01,9
"1126",1972-02-02,14
"1127",1972-02-03,14
"1128",1972-02-04,3
"1129",1972-02-05,10
"1130",1972-02-06,14
"1131",1972-02-07,8
"1132",1972-02-08,13
"1133",1972-02-09,15
"1134",1972-02-10,8
"1135",1972-02-11,19
"1136",1972-02-12,8
"1137",1972-02-13,5
"1138",1972-02-14,4
"1139",1972-02-15,NA
"1140",1972-02-16,9
"1141",1972-02-17,4
"1142",1972-02-18,NA
